Value of A0,Value of A1,Value of A2,Value of A3
27828,24115,32210,8330
10920,26778,26917,1897
28118,1695,7298,20943
17195,18870,1307,1297
26937,29766,26488,25103
16348,10313,978,25840
14231,25558,13202,26417
24023,6045,13674,15053
31930,6069,4140,29697
14898,14564,2966,26907
7802,16846,19711,23638
8086,18211,30470,25726
3112,9592,14079,12163
23479,9864,31184,13271
29426,2640,178,21472
23870,15618,12162,8230
8284,25086,15674,20105
21317,16886,8622,13692
14898,5621,4848,25248
7436,11387,18688,15111
23165,2753,18639,32472
6399,24234,474,8698
907,25071,20712,24874
7658,16681,30305,8569
2486,18199,27553,280
30529,23196,7586,30814
21321,25261,31955,29292
28178,10194,1583,24098
12751,20580,9688,20795
13480,18446,25545,32338
25579,16222,5105,23083
30531,6144,3672,32757
21879,24227,14148,9257
2985,31443,30085,13019
21740,3773,32078,4736
9504,13038,13376,30537
4677,5083,1314,32135
4335,31479,18814,13617
20477,15775,23586,5990
2404,20319,18825,19833
3850,4408,4333,14608
21051,19686,24475,8050
22913,9827,8340,2161
1090,8846,1867,5536
22195,24021,12724,20048
28761,13151,19618,10811
17707,28432,23818,5780
10114,29632,8077,18552
11903,19094,31521,4421
14100,13550,4386,12367
7812,3399,6812,11170
16344,24681,28139,7249
1906,32235,10953,32032
3164,20884,11870,2360
10315,23215,31696,25975
18259,10967,13246,16796
1346,27913,17084,4848
16361,21595,14545,2296
31944,7105,31417,17736
30720,29251,4108,10591
21306,7617,28366,1702
19012,6938,12717,24541
1096,29587,10092,4221
10380,13725,5183,9927
29859,3583,23311,8806
15149,3736,19523,29856
31416,7075,15682,14580
4004,4922,28982,31578
13988,31525,8994,8695
14305,8626,29710,8192
11385,15830,3642,29953
29483,7889,13256,5533
10136,2183,8932,14451
16158,5344,3037,2285
28106,19614,9731,16859
2758,8769,31072,441
30692,20032,23284,25277
18170,24510,26109,6436
2693,17562,14173,13611
30765,11293,16262,27541
3125,16767,31104,14784
1300,3220,31536,22432
26854,26891,27216,12163
24171,25757,25633,7767
16066,5877,22655,182
16818,3894,27985,24937
27497,5595,14937,14055
21843,13313,30483,22856
544,14811,24688,14203
11973,11829,29772,19067
19573,14894,7315,7620
17712,4825,24919,19403
10799,9379,28646,8166
1617,23873,6486,11364
16402,9093,22443,14781
32482,14294,12757,18251
11063,6301,27982,14425
30211,20689,6806,27788
774,1335,27485,5950
4811,14414,24049,8811
